"","Sample_set","Site","Date","Zone_name","Zone","Meter","Vegetation_species","pcent_basal_cover","Elevation_NAVD88","Elevation_MSL","Simplified_zone_name"
"120",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",21,"Rhizophora mangle",25,0.394986120495123,0.759986120495123,"Salt-tolerant trees"
"121",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",21,"Sesuvium portulacastrum",1,0.394986120495123,0.759986120495123,"Salt-tolerant trees"
"122",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",21.5,"none/detritus",81,0.386641486590744,0.751641486590744,"Salt-tolerant trees"
"123",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",21.5,"Pneumatophore",3,0.386641486590744,0.751641486590744,"Salt-tolerant trees"
"124",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",21.5,"Rhizophora mangle",15,0.386641486590744,0.751641486590744,"Salt-tolerant trees"
"125",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",21.5,"Sesuvium portulacastrum",1,0.386641486590744,0.751641486590744,"Salt-tolerant trees"
"126",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",22,"none/detritus",90,0.378296852686364,0.743296852686364,"Salt-tolerant trees"
"127",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",22,"Pneumatophore",3,0.378296852686364,0.743296852686364,"Salt-tolerant trees"
"128",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",22,"Rhizophora mangle",5,0.378296852686364,0.743296852686364,"Salt-tolerant trees"
"129",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",22,"Sesuvium portulacastrum",2,0.378296852686364,0.743296852686364,"Salt-tolerant trees"
"130",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",22.5,"none/detritus",83,0.369649700887219,0.734649700887219,"Salt-tolerant trees"
"131",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",22.5,"Pneumatophore",10,0.369649700887219,0.734649700887219,"Salt-tolerant trees"
"132",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",22.5,"Rhizophora mangle",4,0.369649700887219,0.734649700887219,"Salt-tolerant trees"
"133",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",22.5,"Sesuvium portulacastrum",3,0.369649700887219,0.734649700887219,"Salt-tolerant trees"
"134",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",23,"none/detritus",85,0.360851149794035,0.725851149794035,"Salt-tolerant trees"
"135",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",23,"Pneumatophore",10,0.360851149794035,0.725851149794035,"Salt-tolerant trees"
"136",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",23,"Rhizophora mangle",5,0.360851149794035,0.725851149794035,"Salt-tolerant trees"
"137",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",23.5,"none/detritus",83,0.353923944464803,0.718923944464803,"Salt-tolerant trees"
"138",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",23.5,"Pneumatophore",10,0.353923944464803,0.718923944464803,"Salt-tolerant trees"
"139",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",23.5,"Rhizophora mangle",7,0.353923944464803,0.718923944464803,"Salt-tolerant trees"
"140",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",24,"none/detritus",82,0.349289785024026,0.714289785024026,"Salt-tolerant trees"
"141",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",24,"Pneumatophore",10,0.349289785024026,0.714289785024026,"Salt-tolerant trees"
"142",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",24,"Rhizophora mangle",8,0.349289785024026,0.714289785024026,"Salt-tolerant trees"
"143",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",24.5,"Avicennia germinans",10,0.34465562558325,0.70965562558325,"Salt-tolerant trees"
"144",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",24.5,"none/detritus",81,0.34465562558325,0.70965562558325,"Salt-tolerant trees"
"145",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",24.5,"Pneumatophore",7,0.34465562558325,0.70965562558325,"Salt-tolerant trees"
"146",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",24.5,"Rhizophora mangle",2,0.34465562558325,0.70965562558325,"Salt-tolerant trees"
"147",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",25,"none/detritus",78,0.340021466142473,0.705021466142473,"Salt-tolerant trees"
"148",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",25,"Pneumatophore",10,0.340021466142473,0.705021466142473,"Salt-tolerant trees"
"149",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",25,"Rhizophora mangle",12,0.340021466142473,0.705021466142473,"Salt-tolerant trees"
"150",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",25.5,"none/detritus",81,0.343079613337056,0.708079613337056,"Salt-tolerant trees"
"151",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",25.5,"Pneumatophore",15,0.343079613337056,0.708079613337056,"Salt-tolerant trees"
"152",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",25.5,"Rhizophora mangle",4,0.343079613337056,0.708079613337056,"Salt-tolerant trees"
"153",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",26,"none/detritus",84,0.346429756705271,0.711429756705271,"Salt-tolerant trees"
"154",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",26,"Pneumatophore",15,0.346429756705271,0.711429756705271,"Salt-tolerant trees"
"155",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",26,"Rhizophora mangle",1,0.346429756705271,0.711429756705271,"Salt-tolerant trees"
"156",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",26.5,"none/detritus",84,0.349779900073486,0.714779900073486,"Salt-tolerant trees"
"157",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",26.5,"Pneumatophore",15,0.349779900073486,0.714779900073486,"Salt-tolerant trees"
"158",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",26.5,"Rhizophora mangle",1,0.349779900073486,0.714779900073486,"Salt-tolerant trees"
"159",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",27,"none/detritus",81,0.350569977979417,0.715569977979417,"Salt-tolerant trees"
"160",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",27,"Pneumatophore",15,0.350569977979417,0.715569977979417,"Salt-tolerant trees"
"161",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",27,"Rhizophora mangle",4,0.350569977979417,0.715569977979417,"Salt-tolerant trees"
"162",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",27.5,"Avicennia germinans",2,0.335919268422344,0.700919268422344,"Salt-tolerant trees"
"163",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",27.5,"none/detritus",78,0.335919268422344,0.700919268422344,"Salt-tolerant trees"
"164",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",27.5,"Pneumatophore",15,0.335919268422344,0.700919268422344,"Salt-tolerant trees"
"165",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",27.5,"Rhizophora mangle",5,0.335919268422344,0.700919268422344,"Salt-tolerant trees"
"166",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",28,"none/detritus",84,0.321268558865271,0.686268558865271,"Salt-tolerant trees"
"167",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",28,"Pneumatophore",10,0.321268558865271,0.686268558865271,"Salt-tolerant trees"
"168",1,"TECO (Big Bend)","3/19/2015","Brazilian Pepper Berm","B",28,"Rhizophora mangle",6,0.321268558865271,0.686268558865271,"Salt-tolerant trees"
"169",1,"TECO (Big Bend)","3/19/2015","Immature Mangrove Fringe","C",28.5,"Avicennia germinans",5,0.333257278401321,0.698257278401321,"Mangrove"
"170",1,"TECO (Big Bend)","3/19/2015","Immature Mangrove Fringe","C",28.5,"none/detritus",78,0.333257278401321,0.698257278401321,"Mangrove"
"171",1,"TECO (Big Bend)","3/19/2015","Immature Mangrove Fringe","C",28.5,"Pneumatophore",10,0.333257278401321,0.698257278401321,"Mangrove"
"172",1,"TECO (Big Bend)","3/19/2015","Immature Mangrove Fringe","C",28.5,"Rhizophora mangle",7,0.333257278401321,0.698257278401321,"Mangrove"
"173",1,"TECO (Big Bend)","3/19/2015","Immature Mangrove Fringe","C",29,"none/detritus",90,0.351408882123205,0.716408882123205,"Mangrove"
"174",1,"TECO (Big Bend)","3/19/2015","Immature Mangrove Fringe","C",29,"Pneumatophore",7,0.351408882123205,0.716408882123205,"Mangrove"
"175",1,"TECO (Big Bend)","3/19/2015","Immature Mangrove Fringe","C",29,"Rhizophora mangle",3,0.351408882123205,0.716408882123205,"Mangrove"
"176",1,"TECO (Big Bend)","3/19/2015","Immature Mangrove Fringe","C",29.5,"Avicennia germinans",6,0.369560485845088,0.734560485845088,"Mangrove"
"177",1,"TECO (Big Bend)","3/19/2015","Immature Mangrove Fringe","C",29.5,"none/detritus",81,0.369560485845088,0.734560485845088,"Mangrove"
